Слово,Сумма_слов,Нормализованная_частотность
розовый,40,7.496813854
секрет,37,14.99362771
метро,26,7.496813854
продолжить,78,7.496813854
десятилетие,3,7.496813854
тоска,5,7.496813854
нежный,28,7.496813854
стремление,1,7.496813854
забор,23,7.496813854
талантливый,7,7.496813854
мирный,18,14.99362771
квадратный,67,7.496813854
заменить,77,7.496813854
приглашать,6,7.496813854
незнакомый,12,7.496813854
пассажир,35,7.496813854
привлечь,6,7.496813854
густой,63,7.496813854
север,78,7.496813854
сохранение,18,7.496813854
летать,40,14.99362771
знакомство,8,7.496813854
подчеркнуть,356,7.496813854
мода,3,7.496813854
собор,31,7.496813854
груз,30,14.99362771
заметный,8,7.496813854
капля,37,7.496813854
девчонка,4,7.496813854
совершать,19,7.496813854
воевать,6,7.496813854
ответственный,3,7.496813854
пожар,33,7.496813854
шар,50,7.496813854
цикл,11,7.496813854
эпизод,5,7.496813854
